"x","y","z","vsx_rx","optix","domain","density","knnd","sample"
24574.099609375,31635,-132.712005615234,618.5,2051,"Optix",2.24159417150195e-06,4.7809378405216,"Larval brain 1"
24534.80078125,31596.400390625,-133.483001708984,2299,2087,"Rx",2.19676150943459e-06,4.21146329886695,"Larval brain 1"
24535.30078125,31598.400390625,-137.27799987793,1801,2299,"Rx",2.25743575803628e-06,4.43700236499778,"Larval brain 1"
24565.80078125,31625.599609375,-131.339004516602,731.5,2231,"Optix",2.88639541485149e-06,4.76048492438818,"Larval brain 1"
24564.099609375,31624.900390625,-127.46900177002,695.5,2236,"Optix",3.09256788283829e-06,4.97071887131401,"Larval brain 1"
24578.69921875,31640.30078125,-131.671005249023,893.5,1513,"Rx",2.13737424706434e-06,6.11100753672959,"Larval brain 1"
24544.099609375,31607.599609375,-136.947006225586,1857,2709,"Rx",2.74759325708025e-06,4.15293938623595,"Larval brain 1"
24568.900390625,31626.400390625,-125.72200012207,568.5,1929,"Optix",2.88984523247076e-06,5.20003652373567,"Larval brain 1"
24559.69921875,31620.099609375,-126.709999084473,609.5,2001,"Optix",2.7792396853089e-06,5.68082056710068,"Larval brain 1"
24557,31618.80078125,-133.557998657227,578.5,2335,"Optix",2.85901118590227e-06,4.03668744335506,"Larval brain 1"
24590.30078125,31649.900390625,-129.177993774414,1195,975,"Rx",1.86030240611006e-06,10.9955341139805,"Larval brain 1"
24568.900390625,31631,-132.776000976562,651,2087,"Optix",2.44937704550905e-06,4.74498974170951,"Larval brain 1"
24545.900390625,31610.30078125,-137.190002441406,1061.5,2363,"Optix",2.64393474017952e-06,3.77448614906315,"Larval brain 1"
24582.5,31642.900390625,-123.285003662109,863,1639,"Optix",1.76114693937217e-06,6.65767029273003,"Larval brain 1"
24567.5,31628.400390625,-130.736999511719,609.5,2163,"Optix",2.85676725930791e-06,4.29656969352711,"Larval brain 1"
24576.30078125,31635.80078125,-128.121002197266,614.5,2055,"Optix",2.99000110212701e-06,4.52760345931914,"Larval brain 1"
24532,31595.80078125,-131.901000976562,2095,1675,"Rx",1.76854726197861e-06,5.72715404675134,"Larval brain 1"
24553.80078125,31611,-118.61499786377,1071,1301,"Rx",3.1764493532976e-07,10.2228713968816,"Larval brain 1"
24538.80078125,31606.19921875,-138.485992431641,1635,2317,"Rx",2.11131790843867e-06,4.7448593524409,"Larval brain 1"
24541.099609375,31598.30078125,-135.802001953125,1847,2593,"Rx",2.77366801053647e-06,4.32824256809093,"Larval brain 1"
24537.30078125,31596.099609375,-137.473999023438,1651,2597,"Rx",2.3139465358071e-06,4.45123108997171,"Larval brain 1"
24537.400390625,31593.900390625,-132.785003662109,2521,2217,"Rx",2.10528557947662e-06,4.22466132406486,"Larval brain 1"
24574.900390625,31631.900390625,-132.938995361328,691,2263,"Optix",2.27049674164465e-06,5.32125232915654,"Larval brain 1"
24582.599609375,31638.599609375,-128.727996826172,650.5,2095,"Optix",2.7433855666333e-06,4.83563180566282,"Larval brain 1"
24546.69921875,31605.400390625,-135.115005493164,1557,2343,"Rx",3.04325219173454e-06,5.10063489392818,"Larval brain 1"
24539.69921875,31597.30078125,-132.514007568359,1473,2301,"Rx",2.29138766433226e-06,4.41121101835666,"Larval brain 1"
24542.30078125,31603.80078125,-137.037994384766,1790,2475,"Rx",2.79141564515225e-06,4.70525528878572,"Larval brain 1"
24579.80078125,31636.30078125,-128.434997558594,690.5,2267,"Optix",2.94050081280078e-06,4.37985668446056,"Larval brain 1"
24576.5,31631.80078125,-126.73999786377,621,2179,"Optix",3.02164807578172e-06,4.55186109770611,"Larval brain 1"
24549.400390625,31610,-137.621002197266,979,2299,"Optix",2.60898098593158e-06,5.16805446397268,"Larval brain 1"
24554.80078125,31615.30078125,-135.205993652344,690.5,2623,"Optix",2.901785964566e-06,4.42364066481641,"Larval brain 1"
24558.19921875,31616,-130.50700378418,776.5,2407,"Optix",2.83167153023072e-06,4.79211929500057,"Larval brain 1"
24543,31602.69921875,-131.774993896484,2060,2170,"Rx",2.43811200100287e-06,4.9089706957553,"Larval brain 1"
24586.19921875,31642.5,-126.81600189209,857.5,1610,"Optix",2.54283629589103e-06,5.94861952102903,"Larval brain 1"
24551.400390625,31607.5,-124.706001281738,1223.5,1757,"Optix",1.64900333182294e-06,7.29496922488401,"Larval brain 1"
24572.19921875,31630.80078125,-127.022003173828,661.5,2234,"Optix",3.01648109563572e-06,5.22158552630467,"Larval brain 1"
24531.69921875,31591.5,-135.298004150391,2209,1635,"Rx",2.04745686259402e-06,6.16444971734918,"Larval brain 1"
24579.400390625,31628,-130.022003173828,695.5,2105,"Optix",2.87190384858314e-06,5.06424382092634,"Larval brain 1"
24582.099609375,31631.900390625,-132.089004516602,690.5,2279,"Optix",2.30491247146093e-06,4.24622595623515,"Larval brain 1"
24577.599609375,31626.30078125,-126.251998901367,650.5,1955,"Optix",3.08307316167905e-06,5.11366380399778,"Larval brain 1"
24555.900390625,31607.19921875,-133.410003662109,1107,2267,"Optix",2.78730122289651e-06,4.9112288496496,"Larval brain 1"
24535.19921875,31588,-136.858001708984,2375,2127,"Rx",2.02704530109568e-06,5.03822435378371,"Larval brain 1"
24545,31600.099609375,-137.509994506836,1679,2547,"Rx",2.62983154623247e-06,4.64594908610653,"Larval brain 1"
24540.19921875,31594,-134.14599609375,1721,2615,"Rx",2.48326722730627e-06,3.78573873986291,"Larval brain 1"
24573.599609375,31626.099609375,-129.141006469727,614.5,2081,"Optix",3.06800695274437e-06,5.795985926602,"Larval brain 1"
24585.400390625,31636.400390625,-126.593002319336,690.5,2131,"Optix",2.95584272213943e-06,5.0387768571334,"Larval brain 1"
24588.80078125,31638.80078125,-124.218002319336,812.5,1811,"Optix",2.42727070503446e-06,5.64015274734536,"Larval brain 1"
24531.400390625,31584,-129.503005981445,1558,1387,"Rx",8.35309904386982e-07,8.54068424241646,"Larval brain 1"
24579.099609375,31631.19921875,-126.811996459961,731.5,2307,"Optix",3.0591664196205e-06,4.49812977631907,"Larval brain 1"
24557.099609375,31613.30078125,-136.785995483398,690.5,2479,"Optix",2.6606645849939e-06,5.06831606868687,"Larval brain 1"
24546.80078125,31600.19921875,-131.001007080078,1673,1757,"Rx",2.1581949375779e-06,6.17422089941328,"Larval brain 1"
24564.599609375,31617.69921875,-128.134994506836,695.5,2019,"Optix",2.83801044664714e-06,5.77902088711114,"Larval brain 1"
24561.099609375,31615.80078125,-131.865005493164,813,2337,"Optix",2.83621598143362e-06,4.98476852804205,"Larval brain 1"
24579.900390625,31633.599609375,-131.457992553711,690.5,2339,"Optix",2.4899270416538e-06,4.48070450316663,"Larval brain 1"
24553.400390625,31599.30078125,-136.216003417969,1847,2131,"Rx",2.7212297462702e-06,3.89190132480488,"Larval brain 1"
24545.80078125,31593.5,-138.371002197266,2019,2989,"Rx",2.29347919715101e-06,3.64497868629627,"Larval brain 1"
24540.599609375,31588.099609375,-139.110000610352,1937,2814,"Rx",1.74354551068382e-06,3.62947110081387,"Larval brain 1"
24559.400390625,31605.30078125,-133.203994750977,1635,1955,"Rx",2.5948860512462e-06,5.18286089488081,"Larval brain 1"
24548.599609375,31595.599609375,-136.850997924805,2203,2805,"Rx",2.69322706586808e-06,3.75024566733297,"Larval brain 1"
24562.900390625,31609.30078125,-136.177001953125,781.5,2507,"Optix",2.47357296165747e-06,3.95373850895507,"Larval brain 1"
24542.599609375,31590.80078125,-136.714996337891,2173,2795,"Rx",2.47914024121235e-06,3.92428059047571,"Larval brain 1"
24571.900390625,31617.400390625,-129.065002441406,817.5,2317,"Optix",2.76257385456373e-06,4.78611037890808,"Larval brain 1"
24586.69921875,31628.69921875,-123.333000183105,731.5,2045,"Optix",2.450673992714e-06,4.48820820551813,"Larval brain 1"
24583.69921875,31627.30078125,-124.88200378418,654.5,1959,"Optix",2.84412622102608e-06,5.09729453712356,"Larval brain 1"
24549.19921875,31597.80078125,-138.697998046875,2181,2759,"Rx",2.26664952497486e-06,3.83424505083287,"Larval brain 1"
24589.599609375,31634.900390625,-129.063003540039,736.5,2425,"Optix",2.85811523580732e-06,4.66645699204234,"Larval brain 1"
24603.30078125,31644.80078125,-123.301002502441,772.5,1423,"Rx",1.9577795390202e-06,7.08981485619171,"Larval brain 1"
24564.69921875,31613.099609375,-135.380996704102,853,2551,"Optix",2.52623723373626e-06,3.78795202631217,"Larval brain 1"
24578.30078125,31621.19921875,-124.852996826172,731.5,2213,"Optix",2.63797058804769e-06,5.21822519665274,"Larval brain 1"
24555.69921875,31603.69921875,-137.363998413086,1721,2137,"Rx",2.61269883080538e-06,4.53517540721649,"Larval brain 1"
24533.80078125,31580.80078125,-131.824005126953,2073,1423,"Rx",1.11518080438869e-06,7.78866529270386,"Larval brain 1"
24566,31616.5,-133.981002807617,817.5,2461,"Optix",2.59724659465281e-06,5.24125577265561,"Larval brain 1"
24593.099609375,31639.400390625,-126.074996948242,812.5,1987,"Optix",2.72209849534255e-06,6.23187298122005,"Larval brain 1"
24599.5,31644.30078125,-126.640998840332,1143,1587,"Optix",2.34255383107848e-06,7.03225198095305,"Larval brain 1"
24555.599609375,31602.599609375,-132.936004638672,1721,1765,"Rx",2.56224446075191e-06,4.91127625646349,"Larval brain 1"
24573.5,31616.900390625,-124.824996948242,731.5,1921,"Optix",2.39681339457931e-06,5.40182055425189,"Larval brain 1"
24562.099609375,31613.19921875,-136.630996704102,695,2511,"Optix",2.49833546715236e-06,4.41505691715583,"Larval brain 1"
24551.30078125,31600.19921875,-135.481994628906,1959,2351,"Rx",2.8594293758413e-06,4.00077794587072,"Larval brain 1"
24549.69921875,31601.19921875,-137.679992675781,1893,2497,"Rx",2.68668995318417e-06,4.13387720240745,"Larval brain 1"
24538.599609375,31588.80078125,-133.610992431641,1987,2213,"Rx",2.00055731552762e-06,5.05577347722673,"Larval brain 1"
24545.80078125,31596.19921875,-136.050994873047,1883,2587,"Rx",2.73315382135209e-06,3.7363921620801,"Larval brain 1"
24583.69921875,31630.400390625,-128.072006225586,690.5,2242,"Optix",3.08416173385049e-06,4.8289726812136,"Larval brain 1"
24584.69921875,31634.099609375,-131.266998291016,695,2389,"Optix",2.43439397885832e-06,4.78267668607494,"Larval brain 1"
24542.80078125,31594.80078125,-136.220993041992,1775,2780,"Rx",2.67717170081708e-06,3.71996339725077,"Larval brain 1"
24569,31616.30078125,-128.546005249023,776.5,2163,"Optix",2.76786167775284e-06,5.38195069556691,"Larval brain 1"
24538.900390625,31591.5,-136.957992553711,2005,2683,"Rx",2.3999057314814e-06,4.26572373921237,"Larval brain 1"
24556.69921875,31608.80078125,-137.598999023438,740.5,2427,"Optix",2.45687662868655e-06,4.82382570661133,"Larval brain 1"
24578.80078125,31621.30078125,-135.85400390625,773,2041,"Optix",1.67528355781403e-06,5.90374962344181,"Larval brain 1"
24594.5,31633,-130.884002685547,695,2335,"Optix",2.30523110123966e-06,4.78081667747437,"Larval brain 1"
24602.30078125,31640.19921875,-129.932006835938,772.5,1833,"Optix",2.14775148860735e-06,6.04781609106206,"Larval brain 1"
